taxonID,resourceID,relatedResourceID,relationshipOfResource,relationshipAccordingTo
uredinales-belgium-checklist:taxon:e6c67e2ca39edf932bad857bdcbae4e0,uredinales-belgium-checklist:taxon:c14ab277fe1ed480b5e8504f81446792,uredinales-belgium-checklist:taxon:e6c67e2ca39edf932bad857bdcbae4e0,parasite of,"Vanderweyen A & Fraiture A (2009) Catalogue des Uredinales de Belgique, 1re partie, Chaconiaceae, Coleosporiaceae, Cronartiaceae, Melampsoraceae, Phragmidiaceae, Pucciniastraceae, Raveneliaceae et Uropyxidaceae. Lejeunia, Revue de Botanique. Page: 18"
uredinales-belgium-checklist:taxon:308d0dda84cf6c0303609f74d2382923,uredinales-belgium-checklist:taxon:778ffdf5fa4a50bc4707f38c6be2cd3f,uredinales-belgium-checklist:taxon:308d0dda84cf6c0303609f74d2382923,parasite of,"Vanderweyen A & Fraiture A (2009) Catalogue des Uredinales de Belgique, 1re partie, Chaconiaceae, Coleosporiaceae, Cronartiaceae, Melampsoraceae, Phragmidiaceae, Pucciniastraceae, Raveneliaceae et Uropyxidaceae. Lejeunia, Revue de Botanique. Page: 18"
uredinales-belgium-checklist:taxon:245b764e35d1fbbfd55945b74a79404f,uredinales-belgium-checklist:taxon:a3848c90f84edba2b1bae5d13cdd0165,uredinales-belgium-checklist:taxon:245b764e35d1fbbfd55945b74a79404f,parasite of,"Vanderweyen A & Fraiture A (2009) Catalogue des Uredinales de Belgique, 1re partie, Chaconiaceae, Coleosporiaceae, Cronartiaceae, Melampsoraceae, Phragmidiaceae, Pucciniastraceae, Raveneliaceae et Uropyxidaceae. Lejeunia, Revue de Botanique. Page: 18"
uredinales-belgium-checklist:taxon:4036f389e2e544dc2b5300c9971919e2,uredinales-belgium-checklist:taxon:a3848c90f84edba2b1bae5d13cdd0165,uredinales-belgium-checklist:taxon:4036f389e2e544dc2b5300c9971919e2,parasite of,"Vanderweyen A & Fraiture A (2009) Catalogue des Uredinales de Belgique, 1re partie, Chaconiaceae, Coleosporiaceae, Cronartiaceae, Melampsoraceae, Phragmidiaceae, Pucciniastraceae, Raveneliaceae et Uropyxidaceae. Lejeunia, Revue de Botanique. Page: 19"
uredinales-belgium-checklist:taxon:3ab369d8eac1122e76d5a6990bc07ed4,uredinales-belgium-checklist:taxon:a90b8e21ed620f593e176ab42ca3a4e5,uredinales-belgium-checklist:taxon:3ab369d8eac1122e76d5a6990bc07ed4,parasite of,"Vanderweyen A & Fraiture A (2009) Catalogue des Uredinales de Belgique, 1re partie, Chaconiaceae, Coleosporiaceae, Cronartiaceae, Melampsoraceae, Phragmidiaceae, Pucciniastraceae, Raveneliaceae et Uropyxidaceae. Lejeunia, Revue de Botanique. Page: 19"
uredinales-belgium-checklist:taxon:3f77c8a0399f2e7e15b7087b329f4dbe,uredinales-belgium-checklist:taxon:db1075d8538cc3471d8b4bcd28b78e21,uredinales-belgium-checklist:taxon:3f77c8a0399f2e7e15b7087b329f4dbe,parasite of,"Vanderweyen A & Fraiture A (2009) Catalogue des Uredinales de Belgique, 1re partie, Chaconiaceae, Coleosporiaceae, Cronartiaceae, Melampsoraceae, Phragmidiaceae, Pucciniastraceae, Raveneliaceae et Uropyxidaceae. Lejeunia, Revue de Botanique. Page: 19"
uredinales-belgium-checklist:taxon:3736ec6a37f77d97caaa114113ff033b,uredinales-belgium-checklist:taxon:bf85b739e31edb98ea5d14fa0f4b61a4,uredinales-belgium-checklist:taxon:3736ec6a37f77d97caaa114113ff033b,parasite of,"Vanderweyen A & Fraiture A (2009) Catalogue des Uredinales de Belgique, 1re partie, Chaconiaceae, Coleosporiaceae, Cronartiaceae, Melampsoraceae, Phragmidiaceae, Pucciniastraceae, Raveneliaceae et Uropyxidaceae. Lejeunia, Revue de Botanique. Page: 19"
uredinales-belgium-checklist:taxon:e82e5bb9f24dc198819ebfc25068ae51,uredinales-belgium-checklist:taxon:437376fa8fa57a92cfb2ab61d4b093f1,uredinales-belgium-checklist:taxon:e82e5bb9f24dc198819ebfc25068ae51,parasite of,"Vanderweyen A & Fraiture A (2009) Catalogue des Uredinales de Belgique, 1re partie, Chaconiaceae, Coleosporiaceae, Cronartiaceae, Melampsoraceae, Phragmidiaceae, Pucciniastraceae, Raveneliaceae et Uropyxidaceae. Lejeunia, Revue de Botanique. Page: 20"
uredinales-belgium-checklist:taxon:a4353eacc81c1b2ba031593aa486535e,uredinales-belgium-checklist:taxon:7373a1c8c558e126f2a8fb6f85ac099b,uredinales-belgium-checklist:taxon:a4353eacc81c1b2ba031593aa486535e,parasite of,"Vanderweyen A & Fraiture A (2009) Catalogue des Uredinales de Belgique, 1re partie, Chaconiaceae, Coleosporiaceae, Cronartiaceae, Melampsoraceae, Phragmidiaceae, Pucciniastraceae, Raveneliaceae et Uropyxidaceae. Lejeunia, Revue de Botanique. Page: 20"
uredinales-belgium-checklist:taxon:cdb488265203ba3e3bb5de0a1daa3cbd,uredinales-belgium-checklist:taxon:53ad5f51e1417ccacdb8f3522b72f8ba,uredinales-belgium-checklist:taxon:cdb488265203ba3e3bb5de0a1daa3cbd,parasite of,"Vanderweyen A & Fraiture A (2009) Catalogue des Uredinales de Belgique, 1re partie, Chaconiaceae, Coleosporiaceae, Cronartiaceae, Melampsoraceae, Phragmidiaceae, Pucciniastraceae, Raveneliaceae et Uropyxidaceae. Lejeunia, Revue de Botanique. Page: 20"
uredinales-belgium-checklist:taxon:90a86d6e8c6bb8b28c0b29e8802518e8,uredinales-belgium-checklist:taxon:53ad5f51e1417ccacdb8f3522b72f8ba,uredinales-belgium-checklist:taxon:90a86d6e8c6bb8b28c0b29e8802518e8,parasite of,"Vanderweyen A & Fraiture A (2009) Catalogue des Uredinales de Belgique, 1re partie, Chaconiaceae, Coleosporiaceae, Cronartiaceae, Melampsoraceae, Phragmidiaceae, Pucciniastraceae, Raveneliaceae et Uropyxidaceae. Lejeunia, Revue de Botanique. Page: 21"
uredinales-belgium-checklist:taxon:9957bd9c8b75cd9231e566da1955b4be,uredinales-belgium-checklist:taxon:c193f2b9b50d59ab0eb3b48531a3e54e,uredinales-belgium-checklist:taxon:9957bd9c8b75cd9231e566da1955b4be,parasite of,"Vanderweyen A & Fraiture A (2009) Catalogue des Uredinales de Belgique, 1re partie, Chaconiaceae, Coleosporiaceae, Cronartiaceae, Melampsoraceae, Phragmidiaceae, Pucciniastraceae, Raveneliaceae et Uropyxidaceae. Lejeunia, Revue de Botanique. Page: 21"
uredinales-belgium-checklist:taxon:5baefb1cc0bc48544fa99cef0e18a500,uredinales-belgium-checklist:taxon:6f42ec3e011ea5055fc47b7c5691259c,uredinales-belgium-checklist:taxon:5baefb1cc0bc48544fa99cef0e18a500,parasite of,"Vanderweyen A & Fraiture A (2009) Catalogue des Uredinales de Belgique, 1re partie, Chaconiaceae, Coleosporiaceae, Cronartiaceae, Melampsoraceae, Phragmidiaceae, Pucciniastraceae, Raveneliaceae et Uropyxidaceae. Lejeunia, Revue de Botanique. Page: 21"
