scientificName	catalogNumber	part	page	from	to	family	hostPlant	occurrenceStatus	establishmentMeans
Puccinia elymi Westend. 	148	3	23	VII.1901		Pucciniaceae	 Thalictrum,  Leymus arenarius,  Ammophila arenaria	present	
Puccinia epilobii DC. 	149	3	23			Pucciniaceae	 Epilobium hirsutum,  Epilobium montanum,  Epilobium obscurum,  Epilobium palustre	doubtful	
Puccinia eryngii DC. 	150	3	23			Pucciniaceae	 Eryngium campestre	present	
Puccinia festucae Plowr. 	151	3	23	21.VII.1997		Pucciniaceae	 Lonicera,  Festuca rubra	present	
Puccinia galii-verni Ces. 	152	3	24	24.VI.1900	15.X.2005	Pucciniaceae	 Cruciata laevipes,  Galium	present	native
Puccinia gentianae (F. Strauss) Röhl. 	153	3	24	IX.1890		Pucciniaceae	 Gentiana pneumonanthe,  Gentianella	present	
Puccinia glechomatis DC. 	154	3	24	11.VII.1998	03.XI.2010	Pucciniaceae	 Glechoma hederacea	present	
Puccinia glomerata Grev.	155	3	24	04.VII.1902		Pucciniaceae	 Senecio jacobaea,  Senecio ovatus	present	
Puccinia graminis Pers.	156	3	24	VII.1901	18.IX.1967	Pucciniaceae	 Berberis vulgaris,  Mahonia aquifolium,  Anthoxanthum odoratum,  Dactylis glomerata,  Elymus repens,  Anthoxanthum,  Briza,  Bromus,  Deschampsia,  Hordeum,  Poa,  Secale,  Triticum	present	
Puccinia grisea (F. Strauss) G. Winter 	157	3	25			Pucciniaceae	 Globularia vulgaris	present	alien
Puccinia helianthi Schwein. 	158	3	25			Pucciniaceae	 Helianthus tuberosus	doubtful	alien
Puccinia heraclei Grev. 	159	3	25	30.XII.1994		Pucciniaceae	 Heracleum sphondylium	present	
Puccinia hieracii H. Mart. var. hieracii 	160	3	26	18.X.1878	27.IX.2009	Pucciniaceae	 Centaurea jacea,  Hieracium umbellatum,  Hieracium sabaudum,  Leontodon autumnalis,  Picris hieracioides,  Taraxacum,  Centaurea,  Cichorium,  Hieracium,  Leontodon,  Serratula,  Taraxacum	present	native
Puccinia hieracii var. hypochaeridis (Oudem.) Jørst. 	161	3	26	VIII.1901	14.X.1986	Pucciniaceae	 Hypochaeris radicata	present	native
Puccinia holcina Erikss.	162	3	27	03.IX.1901	03.IV.2007	Pucciniaceae	 Holcus lanatus,  Holcus mollis	present	native
Puccinia hordei G.H. Otth	163	3	27	16.VII.1902		Pucciniaceae	 Ornithogalum,  Hordeum vulgare	present	
Puccinia hordei-murini N.F. Buchw.	164	3	28	29.VI.1998	04.IX.1998	Pucciniaceae	 Hordeum murinum	present	
Puccinia hydrocotyles Cooke 	165	3	28	VIII.1890		Pucciniaceae	 Hydrocotyle vulgaris	present	
Puccinia hysterium (F. Strauss) Röhl. 	166	3	28	20.IV.1943	01.V.1994	Pucciniaceae	 Tragopogon pratensis	present	
Puccinia iridis Rabenh. 	167	3	28			Pucciniaceae	 Urtica,  Valeriana,  Iris graminea	doubtful	
Puccinia komarovii Tranzschel 	168	3	29	08.IX.2009		Pucciniaceae	 Impatiens parviflora	present	alien
Puccinia lactucarum Syd. & P. Syd. 	169	3	29			Pucciniaceae	 Lactuca perennis,  Lactuca serriola	doubtful	
Puccinia lagenophorae Cooke	170	3	29	09.IX.1995	09.IX.2010	Pucciniaceae	 Calendula officinalis,  Senecio vulgaris,  Bellis perennis	present	
