scientificName	catalogNumber	part	page	from	to	eventDate	taxonRank	family	associatedTaxa	occurrenceStatus	Column
Uromyces appendiculatus (Pers.: Pers.) Unger var. appendiculatus	64	2	15	X.1885	10.X.1916	1885-10/1916-10-10	variety	Pucciniaceae	parasite of: Phaseolus vulgaris	present	
Uromyces armeriae Lév. ex J. Kickx f.	65	2	15	14.VIII.1901	14.VIII.1901	1901-8-14/1901-8-14	species	Pucciniaceae	parasite of: Armeria maritima	present	
Uromyces behenis (DC.) Unger	66	2	15	1867	1867	1867/1867	species	Pucciniaceae	parasite of: Silene vulgaris	doubtful	
Uromyces beticola (Bellynck) Boerema, Loer. & Hamers	67	2	15	11.X.1996	11.X.1996	1996-10-11/1996-10-11	species	Pucciniaceae	parasite of: Beta vulgaris	present	
Uromyces chenopodii (Duby) J. Schröt.	68	2	16	1898	1898	1898/1898	species	Pucciniaceae	parasite of: Suaeda	doubtful	
Uromyces croci Pass.	69	2	16	1876	1876	1876/1876	species	Pucciniaceae	parasite of: Crocus biflorus	doubtful	alien
Uromyces dactylidis G.H. Otth,	70	2	16	17.IV.1878	21.III.2004	1878-04-17/2004-03-21	species	Pucciniaceae	parasite of: Ranunculus acris| parasite of: Ranunculus ficaria| parasite of: Ranunculus repens| parasite of: Dactylis glomerata| parasite of: Festuca rubra| parasite of: Poa pratensis	present	native
Uromyces dianthi (Pers.: Pers.) Niessl	71	2	17				species	Pucciniaceae	parasite of: Dianthus chinensis	doubtful	alien
Uromyces ervi Westend.	72	2	17				species	Pucciniaceae	parasite of: Vicia hirsuta	present	
Uromyces erythronii (DC.) Pass.	73	2	17	1898	1898	1898/1898	species	Pucciniaceae	parasite of: Erythronium dens-canis	doubtful	
Uromyces euphorbiae-corniculati Jordi	74	2	18	10.VIII.1920	10.VIII.1920	1920-08-10/1920-08-10	species	Pucciniaceae	parasite of: Euphorbia cyparissias| parasite of: Lotus corniculatus	present	
Uromyces fallens (Arthur) F. Kern ex Barthol.	75	2	18	24.X.1997	24.X.1997	1997-10-24/1997-10-24	species	Pucciniaceae	parasite of: Trifolium pratense	present	
Uromyces ficariae (Schumach.) Fuckel	76	2	18	04.V.1901	18.IV.2006	1901-05-04/2006-04-18	species	Pucciniaceae	parasite of: Ranunculus ficaria	present	native
Uromyces geranii (DC.) Fr.	77	2	18	28.IX.1991	26.VI.1995	1991-09-28/1995-06-26	species	Pucciniaceae	parasite of: Geranium dissectum| parasite of: Geranium molle| parasite of: Geranium pusillum| parasite of: Geranium pyrenaicum	present	
Uromyces hedysari-obscuri (DC.) Carestía & Picc.	78	2	19				species	Pucciniaceae	parasite of: Hedysarum hedysaroides 	doubtful	alien
Uromyces junci (Desm.) Tul.	79	2	19	X.1889		1889-10	species	Pucciniaceae	parasite of: Pulicaria dysenterica| parasite of: Juncus effusus| parasite of: Juncus conglomeratus| parasite of: Juncus inflexus| parasite of: Juncus subnodulosus	present	
Uromyces laburni (DC.) G.H. Otth	80	2	19	1888	1888	1888/1888	species	Pucciniaceae	parasite of: Euphorbia cyparissias| parasite of: Laburnum anagyroides| parasite of: Genistella sagittalis| parasite of: Cytisus scoparius| parasite of: Genista| parasite of: Chamaecytisus	present	
Uromyces limonii (DC.) Lév. ex Berk.	81	2	20	18.VIII.1957	18.VIII.1957	1957-08-18/1957-08-18	species	Pucciniaceae	parasite of: Limonium vulgare	present	
Uromyces lineolatus (Desm.) J. Schröt.	82	2	20				species	Pucciniaceae	parasite of: Glaux maritima| parasite of: Berula| parasite of: Oenanthe| parasite of: Pastinaca| parasite of: Sium| parasite of: Apium| parasite of: Torilis| parasite of: Daucus| parasite of: Bolboschoenus maritimus	present	
Uromyces minor J. Schröt.	83	2	20	17.VII.1999	17.VII.1999	1999-07-17/1999-07-17	species	Pucciniaceae	parasite of: Trifolium campestre| parasite of: Trifolium dubium| parasite of: Trifolium pratense| parasite of: Trifolium montanum	present	
Uromyces muscari (Duby) Lév. ex L. Graves	84	2	20	1860	1881	1860/1881	species	Pucciniaceae	parasite of: Hyacinthoides non-scripta| parasite of: Muscari| parasite of: Ornithogalum| parasite of: Scilla	present	
Uromyces pisi (DC.) G.H. Otth	85	2	20	1864	24.V.1998	1864/1998-05-24	species	Pucciniaceae	parasite of: Euphorbia cyparissias| parasite of: Euphorbia esula| parasite of: Lathyrus pratensis| parasite of: Pisum sativum| parasite of: Lathyrus sylvestris	present	native
Uromyces polygoni-avicularis (Pers.: Pers.) P. Karst.	86	2	21	VI.1901	28.VII.1999	1901-06/1999-07-28	species	Pucciniaceae	parasite of: Polygonum aviculare| parasite of: Rumex acetosella	present	native
Uromyces proëminens (DC.) Pass. in Rabenh.	87	2	21				species	Pucciniaceae	parasite of: Euphorbia chamaesyce	doubtful	alien
Uromyces rumicis (Schumach.) G. Winter	88	2	21	04.IX.1999		1999-09-04	species	Pucciniaceae	parasite of: Ranunculus ficaria| parasite of: Rumex acetosa| parasite of: Rumex acetosella| parasite of: Rumex crispus| parasite of: Rumex hydrolapathum| parasite of: Rumex obtusifolius| parasite of: Rumex palustris	present	
Uromyces salicorniae de Bary	89	2	22	1898		1898	species	Pucciniaceae	parasite of: Salicornia	doubtful	
Uromyces scrophulariae Fuckel	90	2	22				species	Pucciniaceae	parasite of: Scrophularia nodosa	present	
Uromyces scutellatus (Schrank: Pers.) Lév. ex Tul.	91	2	22	08.V.1956	22.V.1978	1956-05-08/1978-05-22	species	Pucciniaceae	parasite of: Euphorbia cyparissias| parasite of: Euphorbia esula	present	
Uromyces sparsus (J.C. Schmidt & Kunze) Lév. ex Cooke	92	2	23				species	Pucciniaceae	parasite of: Spergularia marina| parasite of: Spergularia media| parasite of: Spergularia rubra	doubtful	
